Date,Pond,Location,Bait_Type,Trap_Type,Observer,Notes,C_ID,S_ID,T_ID
8/11/2003,SPG,Dam SE end,,bask-p,Karrmann,Dorsal offset; adult Cp swimming at east end of dam Migrant - in ALM 02 JUL 04,1,,
7/2/2004,ALM,BMI,,bask-p,Karrmann,Migrant - in SPG 11 AUG 03,2,2,2
8/3/2004,ALM,BMI,,bask-m,Karrmann,DISALIGNMENT BUT NO BLOTCHING Migrant - in SPG 11 AUG 03,3,3,3
9/16/2004,ALM,BMI,,bask-m,Karrmann,Migrant - in SPG 11 AUG 03,4,3,1
8/24/2003,ALM,SE corner,,snrkl,Karrmann,"small natural looking notches on L11,12; mass originally recorded as 297 g",5,5,4
8/7/2004,ALM,BMI,,snrkl,Karrmann,"RC-2 ABRADED, LC2-3 SCRAPED BY TOOTH , NOT SHED",6,6,4
9/16/2004,ALM,BMI,,bask-p,Karrmann,"Malformed V3,4; Pre-shed",7,7,4
9/26/2004,ALM,BMI,,bask-p,Karrmann,shedding,8,8,4
9/28/2002,ALM,BMI,,bask-p,Karrmann,pit added 02 JUN 03,9,9,5
5/10/2003,ALM,Arthur's Inlet,,bask-p,Karrmann,,10,10,5
7/22/2006,ALM,,,Hoop,WS - Team 2,,11,11,5
8/29/2006,ALM,,,Hoop,ws,RAINING,12,12,6
8/24/2003,ALM,SE corner,,snrkl,Karrmann,leech removed sent to Siddall's lab,13,13,7
6/10/2011,ALM,dock,,Hoop,"RC, KP, SG",notches may just be broken parts,14,14,8
7/25/2003,ALM,BMI,,Hoop,Karrmann,,15,15,9
8/5/2008,ALM,Cove,,Hoop,,,16,16,10
5/25/2010,ALM,Cove,,Hoop,NYU-ECE w/ MM,,17,17,11
8/3/2003,ART,South Inlet,,bask-p,Karrmann,"Ramp damaged, pushed up on top of hoop post",18,18,12
7/24/2013,JIM,,,Hoop,Falk/Florio,,19,19,13
6/13/2004,ALM,BMI,,Hoop,Karrmann,TUMOR GROWTH ON CHEEKS,20,20,14
6/21/2004,ALM,BMI,,Hoop,Karrmann,tumor on cheecks,21,21,14
7/2/2004,ALM,BMI,,snrkl,Karrmann,Tumor on each side of cheek,22,22,14
7/5/2004,ALM,BMI,,Hoop,Karrmann,"tumor on each cheek turtle was trying to get into hoop trap, caught with hand net. Reset",23,23,14
7/12/2004,ALM,BMI,,snrkl,Karrmann,L1? L9/10? Lumps on cheek,24,24,14
7/24/2004,ALM,BMI,,bask-m,Karrmann,MUMPS,25,25,14
8/7/2004,ALM,BMI,,Hoop,Karrmann,MUMPS,26,24,14
8/24/2004,ALM,BMI,,bask-m,Munson,Growth on cheeks,27,27,15
9/1/2004,ALM,BMI,,bask-m,Karrmann,,28,28,14
9/16/2004,ALM,BMI,,bask-m,Karrmann,"Notch between L9,10 may be natural; mumps",29,29,14
7/18/2006,ALM,Dam -- NW Corner,,Hoop,,Growth on upper right side of head,30,30,16
7/15/2008,ALM,Dam,,Hoop,,,31,31,16
5/25/2010,ALM,Cove,,Hoop,NYU-ECE w/ MM,,32,17,11
6/15/2010,ALM,Cove,,Hoop,MV,,33,33,14
6/22/2010,ALM,Cove,,Hoop,WS,,34,34,14
6/23/2010,ALM,Dam Cove,,Hoop,"MV, KP",,35,35,14
6/26/2010,ALM,Cove,,Hoop,"MV, JB","scar, front right plastron",36,36,14
7/7/2010,ALM,Dam Cove,,Hoop,"MV, JB",9/10 not real notch,37,37,14
7/14/2010,ALM,Dam Cove,,Hoop,"MV, WS, MM",,38,38,14
7/29/2010,ALM,Damside,,Hoop,,,39,39,14
6/10/2011,ALM,damside,,Hoop,"MV, JS, RC, KP, SG",,40,40,14
6/17/2011,ALM,damside,,Hoop,"MV, JS. SG",,41,40,14
6/22/2011,ALM,dock,,Hoop,"MV, PW",,42,20,14
7/13/2011,ALM,sweet spot,,Hoop,MM,,43,42,14
9/15/2002,ALM,BMI,,bask-p,Karrmann,PIT added 15 AUG 03,44,43,18
5/10/2003,ALM,Swamp Trail Inlet,,Hoop,Karrmann,PIT added 15 AUG 03,45,43,18
