Sex,Age,PIT_Num,Species,T_ID
M,5+,4310552857,Cp,1
M,W,4310552857,Cp,2
M,6+,4310552857,Cp,3
F,W,4311124528,Cp,4
F,W,4315311868,Cp,5
F,,4315311868,Cp,6
F,7+,4315371352,Cp,7
F,5+,4315387901,Cp,8
M,W,4315562674,Cp,9
M,A,4315562674,Cp,10
,,4315562674,Cp,11
M,7+,4315566217,Cp,12
M,,4315566217,Cp,13
M,W,4315584525,Cp,14
M,-,4315584525,Cp,15
M,A,4315584525,Cp,16
,,4315584525,Cp,17
M,,4315621050,Cp,18
M,5+,4315621050,Cp,19
M,W,4315621050,Cp,20
M,A,4315621050,Cp,21
M,6,4315621050,Cp,22
M,3+,4315621050,Cp,23
M,,4315643501,Cp,24
M,3,4315643501,Cp,25
M,W,4315643501,Cp,26
M,J,4315643501,Cp,27
M,W,4360043543,Cp,28
M,,4360043543,Cp,29
M,-,4360043543,Cp,30
M,worn,4360043543,cpp,31
M,,4676336455,Cp,32
M,,4676441600,Cp,33
M,A,4676441600,Cp,34
M,3,4676466457,Cp,35
M,3+,4676551175,Cp,36
F,W,4679400714,Cp,37
F,worn,4679400714,cpp,38
F,worn,4679400714,cpp/m,39
F,,4679400714,Cp,40
F,10+,4679400714,Cp,41
M,5,113663532A,Cp,42
M,W,113663532A,Cp,43
M,,113663532A,Cp,44
M,A,113663532A,Cp,45
M,8+,113812554A,Cp,46
M,worn,113812554A,Cp,47
M,W,113812554A,Cp,48
M,,113812554A,Cp,49
F,,113822750A,Cp,50
F,W,113822750A,Cp,51
F,W,113824734A,Cp,52
F,W,113824743A,Cp,53
F,,113872240A,Cp,54
F,W,113872240A,Cp,55
F,A,113872240A,Cp,56
F,5,113911447A,Cp,57
F,,113911447A,Cp,58
F,6+,113911447A,Cp,59
F,6,113911447A,Cp,60
F,5+,113911447A,Cp,61
F,J,113911447A,Cp,62
F,A,113911447A,Cp,63
,,113911447A,Cp,64
F,7+,113911447A,Cp,65
F,8,113914110A,Cp,66
F,,113914110A,Cp,67
F,W,113914110A,Cp,68
F,A,113914110A,Cp,69
F,6+,113915295A,Cp,70
F,W,113915295A,Cp,71
F,4+,113915295A,Cp,72
M,5,113915352A,Cp,73
?,13,113916174A,Css,74
M,4+,113918173A,Cp,75
M,W,113918173A,Cp,76
M,J,113918173A,Cp,77
M,5+,113918173A,cpp,78
F,,113918173A,Cp,79
M,,113918173A,Cp,80
M,5+,113918173A,Cp,81
F,W,113923253A,Cp,82
F,,113923253A,Cp,83
F,W,113924685A,Cp,84
F,,113924685A,Cp,85
F,A,113924685A,Cp,86
?,7,113925235A,Tse,87
F,10+,113927353A,Cp,88
M,1,113928531A,Cp,89
F,W,113929517A,Cp,90
F,,113929517A,Cp,91
F,6,113931357A,Cp,92
F,,113932796A,Cp,93
M,A,113932796A,Cp,94
F,A,113932796A,Cp,95
F,W,113932796A,Cp,96
M,W,113937152A,Cp,97
M,A,113937152A,Cp,98
M,,113937152A,Cp,99
?,W,113937345A,Css,100
F,,113937345A,Css,101
F,,113938471A,Cp,102
F,W,113938471A,Cp,103
F,W,113938692A,Cp,104
F,,113965571A,Cp,105
F,6,113965571A,Cp,106
F,W,113965571A,Cp,107
F,A,113965571A,Cp,108
F,,113966632A,Cp,109
F,W,113966632A,Cp,110
F,6,113967334A,Cp,111
F,,113967334A,Cp,112
F,W,113967334A,Cp,113
N/A,A,113967334A,Cp,114
M,8+,113967750A,Cp,115
M,W,113967750A,Cp,116
F,11+,113967570A,Cp,117
F,7+,113967570A,Cp,118
M,-,113967750A,Cp,119
F,8+,113967570A,Cp,120
M,J,113967750A,Cp,121
M,A,113967750A,Cp,122
M,,113967750A,,123
M,,113967750A,Cp,124
F,W,113968222A,Cp,125
F,,113968557A,Cp,126
F,6,113968557A,Cp,127
F,W,113968557A,Cp,128
F,J,113968557A,Cp,129
M,worn,113969143A,Cp,130
M,,113969143A,Cp,131
F,W,113969180A,Cp,132
F,W,113969273A,Cp,133
M,W,113969517A,Cp,134
F,W,113969632A,Cp,135
M,,113973116A,Css,136
F,W,113976134A,Cp,137
F,,113976134A,Cp,138
F,10+,113976134A,Cp,139
?,W,113976335A,Cp,140
F,W,114409227A,Cp,141
F,W,114411137A,Cp,142
M,,114414485A,Cp,143
M,W,114414485A,Cp,144
M,A,114414485A,Cp,145
M,W,114417466A,Cp,146
M,6,114421513A,Cp,147
M,J,114421513A,Cp,148
M,4+,114421513A,Cp,149
M,5,114421513A,Cp,150
M,W,114421513A,Cp,151
M,A,114421513A,Cp,152
M,,1144215134A,Cp,153
M,,114421513A,Cp,154
F,W,114459123A,Cp,155
M,4,114463132A,Cp,156
M,7+,114463132A,Cp,157
F,W,114463271A,Cp,158
F,,114463271A,Cp,159
F,W,114465332A,Cp,160
F,,114465332A,Cp,161
F,A,114465332A,Cp,162
F,8+,114465343A,Cp,163
F,W,114465343A,Cp,164
F,9+,114465343A,Cp,165
F,6+,114465343A,Cp,166
F,67,114472174A,Cp,167
M,J,114472174A,Cp,168
M,6+,114472174A,Cp,169
F,6+,114472331A,Cp,170
F,W,114472331A,Cp,171
F,A,114472331A,Cp,172
F,5+,114472331A,Cp,173
F,A,114472531A,Cp,174
F,,114472331A,,175
F,,114472331A,Cp,176
F,,114472630A,Cp,177
F,W,114472630A,Cp,178
F,7,114472710A,Cp,179
F,,114472710A,Cp,180
F,W,114473151A,Cp,181
F,W,114514216A,Cp,182
M,W,114979762A,Cp,183
M,,114979762A,Cp,184
F,W,115109111A,Cp,185
F,-,115109111A,Cp,186
F,,115109111A,Cp,187
M,worn,115109154A,Cp,188
M,W,115109154A,Cp,189
M,worn,115109154A,cpp,190
M,,1151093093A,Cp,191
M,W,115109371A,Cp,192
M,,115109371A,Cp,193
,,115109371A,Cp,194
M,A,115109371A,Cp,195
M,6,115109393A,Cp,196
M,,115109393A,Cp,197
M,W,115109393A,Cp,198
F,A,115109393A,Cp,199
M,A,115109393A,Cp,200
,,115109393A,Cp,201
M,8+,115109393A,Cp,202
M,,1151109371A,Cp,203
M,W,115111337A,Cp,204
M,worn,115111337A,Cp,205
F,9+,115112144A,Cp,206
F,8,115112144A,Cp,207
F,6+,115112144A,Cp,208
F,5,115112144A,Cp,209
F,4,115112144A,Cp,210
F,6,115112144A,Cp,211
F,J,115112144A,Cp,212
F,,115112144A,Cp,213
F,A,115112144A,Cp,214
,,115112144A,Cp,215
F,5+,115112144A,Cp,216
F,W,115112144A,Cp,217
M,W,115112144A,Cp,218
F,W,115112246A,Cp,219
F,,115112246A,Cp,220
F,6+,115112656A,Cp,221
M,4,115113355A,Cp,222
M,10+,115113355A,Cp,223
M,worn,115113355A,Cp,224
M,6+,115113355A,Cp,225
M,,115113355A,Cp,226
,,115113355A,Cp,227
M,A,115113355A,Cp,228
F,,115114690A,Cp,229
F,W,115114690A,Cp,230
M,W,115115246A,Cp,231
F,7,115115544A,Cp,232
F,,115115544A,Cp,233
F,6+,115115544A,Cp,234
F,6,115115544A,Cp,235
F,8+,115115544A,Cp,236
F,7+,115115544A,Cp,237
F,9+,115115544A,Cp,238
M,A,115115544A,Cp,239
F,W,115115544A,Cp,240
F,,1151155461A,Cp,241
F,5,115116120A,Cp,242
F,,115116120A,Cp,243
F,W,115116120A,Cp,244
F,8+,115116120A,Cp,245
M,A,115116120A,Cp,246
F,W,115116453A,Cp,247
F,8+,115117543A,Cp,248
F,,115118335A,Cp,249
F,W,115118335A,Cp,250
?,7,115118357A,Css,251
F,W,115118443A,Cp,252
F,W,115118690A,Cp,253
F,,115118690A,Cp,254
F,A,115118690A,Cp,255
F,6,115119110A,Cp,256
F,5+,115119110A,Cp,257
F,W,115119110A,Cp,258
F,J,115119110A,Cp,259
,,115119110A,Cp,260
F,,115119110A,Cp,261
M,W,115119233A,Cp,262
M,,115119233A,Cp,263
M,worn,115119233A,Cp,264
?,7,115121113A,Css,265
F?,15+,115121113A,Css,266
F,W,115121113A,Css,267
M,,115121113A,Css,268
F,8+,115122192A,Cp,269
F,-,115122192A,Cp,270
F,W,115122192A,Cp,271
F,W,115122632A,Cp,272
F,worn,115122632A,Cp,273
F,6,115123143A,Cp,274
F,7,115123212A,Cp,275
F,W,115123285A,Cp,276
?,9,115123491A,Tse,277
M,W,115123530A,Cp,278
M,10+,115123530A,Cp,279
F,W,115124597A,Cp,280
F,9+,115124597A,Cp,281
F,8+,115124597A,Cp,282
F,6/7/2015,115124650A,Cp,283
F,12,115124650A,Cp,284
F,12+,115124650A,Cp,285
F,8+,115124650A,Cp,286
F,9+,115124650A,Cp,287
F,W,115125561A,Cp,288
M,3,115125796A,Cp,289
M,,115125796A,Cp,290
M,W,115125796A,Cp,291
M,8+,115125796A,Cp,292
M,A,115125796A,Cp,293
F,9,11512609A?,Css,294
M,worn,115126644A,Cp,295
M,W,115126644A,Cp,296
M,,115126644A,Cp,297
M,A,115126644A,Cp,298
